   kind   IET       LUMO       dhd          LL         HH        BL         dist
   fast   27.5    -9.41289   18.01346     35.012    2.319137   14.604     2.308082
   fast   23.25   -9.35635   22.572134    25.8367   2.152039   15.3641    2.163919
   fast   19.25   -9.30711   11.023292    38.9577   2.469208   23.6034    2.213612
   slow   94      -9.43083   22.428431    34.5906   2.387991   12.7421    2.275541
   fast   26      -9.39002   21.198641    23.9035   2.27888    17.7335    2.331323
   fast   10.25   -9.38193   17.091118    43.5128   2.378653   -9.837     2.229768
   fast   17.5    -9.40728   27.644159    25.5889   2.320035   -0.747     2.28189
   slow   85.25   -9.43482   14.803938    28.8601   2.267456   9.68602    2.121525
   slow   36      -9.39072   28.621603    29.203    2.234343   -10.319    2.24896
   slow   74.75   -9.34366   22.51775     19.8858   2.121781   10.8302    2.172066
   slow   50.75   -9.35035   27.5811      33.0619   2.192514   -6.236     2.304444
   slow   38.25   -9.28246   29.496868    24.6212   2.12784    6.77443    2.234759
   fast   13.5    -9.39971   28.51523     30.0631   2.528912   19.5312    2.262008
   fast   27.5    -9.35427   24.259958    28.0493   2.213771   20.2966    2.236902
   slow   47      -9.46556   19.071779    26.8625   2.066993   -0.708     2.223415
   slow   51.75   -9.58207   25.608826    23.0641   2.25966    3.25322    2.135008
   slow   60.5    -9.53714   23.058491    14.3464   2.115081   16.1194    2.303973
   slow   53.75   -9.45953   20.480631    28.3414   2.264706   7.29923    2.143385
   fast   30.25   -9.45429   23.406086    20.3258   2.143788   15.8134    2.250635
   slow   96.25   -9.53547   32.058304    21.8337   2.162869   0.1136     2.225891
   slow   48.5    -9.42161   21.442484    25.2968   2.23246    5.31062    2.260982
   fast   24.75   -9.38078   24.617064    21.4081   2.076028   -9.082     2.145473
   slow   39.5    -9.37309   20.656141    31.8692   2.136891   1.09145    2.159901
   fast   22.5    -9.65102   28.264095    27.8173   2.327816   -10.078    2.169655
   slow   88.75   -9.67825   38.657383    -0.31024  2.063329   1.57999    2.174979
   fast   23.75   -9.29941   36.973137    9.31462   2.358509   5.46352    2.245408
   slow   33      -9.31863   34.688416    25.4207   2.149135   -16.355    2.205584
   fast   29.75   -9.45900   33.026638    25.8682   2.215264   -20.281    2.27424
   slow   35      -9.51024   28.598495    15.1222   2.014369   -1.958     2.273781
   slow   82      -9.44766   30.679581    19.935    2.127263   -3.815     2.324529
   fast   27.5    -9.51321   33.563068    16.063    2.183763   -1.341     2.26641
   slow   54.75   -9.37268   10.995678    22.1941   2.24506    28.7879    2.256434
   fast   6.25    -9.32200   19.254707    31.2088   2.12246    5.67308    2.380434
   fast   13.75   -9.28815   27.922974    39.9732   2.299558   -9.95      2.195495
   fast   31      -9.50266   32.182003    24.8875   2.580795   10.5207    2.197694
   slow   82.75   -9.48357   16.712351    28.3933   2.249673   13.151     2.100246
   fast   19.75   -9.30231   24.090469    28.2661   2.40535    8.52609    2.325436
   slow   33      -9.40572   26.415476    9.72845   2.141592   5.60634    2.163085
   slow   111     -9.55157   32.04055     26.325    2.238017   7.26674    2.20402
   fast   27.75   -9.49216   29.693144    20.4213   2.305287   0.81067    2.417656
   slow   38.25   -9.46586   27.882875    29.1669   2.342023   9.08406    2.155928
   slow   39.5    -9.29656   13.780736    36.6438   2.454898   37.6481    2.122704
   fast   20      -9.21106   6.537605     52.7724   2.318002   26.8385    2.282671
   slow   102.75  -9.43565   14.768365    27.4954   2.234653   22.6698    2.313406
   fast   22.25   -9.34611   10.237331    27.5635   2.260266   30.9937    2.141714
   fast   32.5    -9.22262   9.23913      48.8222   2.323317   31.3162    2.230212
   fast   30.5    -9.38455   11.820402    35.7283   2.122813   24.7627    2.241712
   slow   39.25   -9.33320   15.946093    36.7134   2.417236   17.4265    2.22277
   fast   11.5    -9.44477   26.249416    22.3936   2.342881   8.15608    2.219457
   fast   29.5    -9.38198   20.555815    24.9966   1.948869   1.54425    2.238866
   slow   47      -9.36528   22.505463    22.3598   2.309289   11.0762    2.312351
